mgi_symbol	mgi_description	ensembl_gene_id
Nalcn; A530023G15Rik; Vgcnl1	sodium leak channel, non-selective	ENSMUSG00000000197
Btbd17; 1500005I02Rik; Tango10a	BTB (POZ) domain containing 17	ENSMUSG00000000202
Slfn4	schlafen 4	ENSMUSG00000000204
Th	tyrosine hydroxylase	ENSMUSG00000000214
Ins2; Ins-2; InsII; Mody; Mody4	insulin II	ENSMUSG00000000215
Scnn1g; ENaC gamma	sodium channel, nonvoltage-gated 1 gamma	ENSMUSG00000000216
Drp2	dystrophin related protein 2	ENSMUSG00000000223
Tspan32; Art-1; D7Wsu37e; Phemx; Tssc6	tetraspanin 32	ENSMUSG00000000244
Lhx2; ap; apterous; Lh-2; LH2A	LIM homeobox protein 2	ENSMUSG00000000247
Clec2g; 4632413B12Rik; Ocilrp1	C-type lectin domain family 2, member g	ENSMUSG00000000248
Gmpr; 2310004P21Rik	guanosine monophosphate reductase	ENSMUSG00000000253
Glra1; B230397M16Rik; nmf11; oscillator; ot	glycine receptor, alpha 1 subunit	ENSMUSG00000000263
Mid2; FXY2; Trim1	midline 2	ENSMUSG00000000266
Trim25; estrogen-responsive finger protein; Zfp147	tripartite motif-containing 25	ENSMUSG00000000275
Dgke; DAGK6	diacylglycerol kinase, epsilon	ENSMUSG00000000276
Scpep1; 2410018F01Rik; 4833411K15Rik; Risc	serine carboxypeptidase 1	ENSMUSG00000000278
Mnt; bHLHd3; Rox	max binding protein	ENSMUSG00000000282
Itgb2; 2E6; Cd18; Mac-1 beta	integrin beta 2	ENSMUSG00000000290
Hddc2; 2310057G13Rik	HD domain containing 2	ENSMUSG00000000295
Tpd52l1; D53	tumor protein D52-like 1	ENSMUSG00000000296
Pemt; Pempt; Pempt2	phosphatidylethanolamine N-methyltransferase	ENSMUSG00000000301
Cdh1; E-cad; E-cadherin; Ecad; L-CAM; UM; uvomorulin	cadherin 1	ENSMUSG00000000303
Cdh4; R-Cadh; R-cadherin; Rcad	cadherin 4	ENSMUSG00000000305
Ckmt1; mi-CK; Mt-CK; UbCKmit	creatine kinase, mitochondrial 1, ubiquitous	ENSMUSG00000000308
Bcl6b; Bazf	B cell CLL/lymphoma 6, member B	ENSMUSG00000000317
Clec10a; CD301a; Mgl1	C-type lectin domain family 10, member A	ENSMUSG00000000318
Alox12; 9930022G08Rik; Alox12p; P-12LO	arachidonate 12-lipoxygenase	ENSMUSG00000000320
Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	ENSMUSG00000000325
Comt; Comt1; D16Wsu103e; D330014B15Rik	catechol-O-methyltransferase	ENSMUSG00000000326
Rtca; 2310009A18Rik; Rtcd1	RNA 3'-terminal phosphate cyclase	ENSMUSG00000000339
Dbt; BCKAD E2; D3Wsu60e; dihydrolipoyl transacylase; dihydrolipoyllysine-residue (2-methylpropanoyl)transferase	dihydrolipoamide branched chain transacylase E2	ENSMUSG00000000340
Dazap2; Brbp; Gcap28; gt6-12; Prtb	DAZ associated protein 2	ENSMUSG00000000346
Mcts1; 1500019M23Rik; MCT-1	malignant T cell amplified sequence 1	ENSMUSG00000000355
Rem1; E030011C07Rik	rad and gem related GTP binding protein 1	ENSMUSG00000000359
Rnf17; MMIP-2	ring finger protein 17	ENSMUSG00000000365
Trappc10; B230307C21Rik; b2b2416Clo; b2b2613Clo; LOC380642; Tmem1	trafficking protein particle complex 10	ENSMUSG00000000374
Ccm2	cerebral cavernous malformation 2	ENSMUSG00000000378
Wap	whey acidic protein	ENSMUSG00000000381
Tbrg4; 2310042P22Rik; Cpr2; TB-12	transforming growth factor beta regulated gene 4	ENSMUSG00000000384
Tmprss2; D16Ertd61e; epitheliasin	transmembrane protease, serine 2	ENSMUSG00000000385
Mx1; ; Mx; Mx-1; myxovirus (influenza) resistance 1 polypeptide	MX dynamin-like GTPase 1	ENSMUSG00000000386
Fap	fibroblast activation protein	ENSMUSG00000000392
Gcg; GLP-1; Glu; glucagon-like peptide I; PPG	glucagon	ENSMUSG00000000394
Ndufa9; 1010001N11Rik	NADH:ubiquinone oxidoreductase subunit A9	ENSMUSG00000000399
Egfl6; Maeg	EGF-like-domain, multiple 6	ENSMUSG00000000402
Lck; Hck-3; p56<lck>	lymphocyte protein tyrosine kinase	ENSMUSG00000000409
Tssk3; 1700014N07Rik; 4930594I21Rik; Stk22c; Stk22d; Tssk-3	testis-specific serine kinase 3	ENSMUSG00000000411
Cttnbp2; 3010022N24Rik; 4732477G22Rik; 9130022E09Rik; Cortbp2; ORF4	cortactin binding protein 2	ENSMUSG00000000416
Galnt1; ppGaNTase-T1	polypeptide N-acetylgalactosaminyltransferase 1	ENSMUSG00000000420
Myf5; B130010J22Rik; bHLHc2; Myf-5	myogenic factor 5	ENSMUSG00000000435
Mkrn2; 2610002L04Rik	makorin, ring finger protein, 2	ENSMUSG00000000439
Pparg; Nr1c3; PPAR-gamma; Ppar-gamma2; PPARgamma; PPARgamma2	peroxisome proliferator activated receptor gamma	ENSMUSG00000000440
Raf1; 6430402F14Rik; c-Raf; Craf1; Raf-1; sarcoma 3611 oncogene; v-Raf	v-raf-leukemia viral oncogene 1	ENSMUSG00000000441
Septin1; Diff6; PNUTL3; Sept1	septin 1	ENSMUSG00000000486
Pdgfb; PDGF-B; Sis	platelet derived growth factor, B polypeptide	ENSMUSG00000000489
Acvrl1; activin receptor-like kinase-1; Acvrlk1; Alk-1; Alk1	activin A receptor, type II-like 1	ENSMUSG00000000530
Grasp; tamalin	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	ENSMUSG00000000531
Acvr1b; ActR-IB; ActRIB; Acvrlk4; Alk4; SKR2	activin A receptor, type 1B	ENSMUSG00000000532
Tom1l2; 2900016I08Rik; A730055F12Rik; myb1-like protein 2	target of myb1-like 2 (chicken)	ENSMUSG00000000538
Gpa33; 2010310L10Rik; 2210401D16Rik; A33 antigen	glycoprotein A33 (transmembrane)	ENSMUSG00000000544
Zfp385a; Hzf; Zfp385	zinc finger protein 385A	ENSMUSG00000000552
Itga5; Cd49e; Fnra	integrin alpha 5 (fibronectin receptor alpha)	ENSMUSG00000000555
Gabra2; C630048P16Rik; Gabra-2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2	ENSMUSG00000000560
Wdr77; 2610003I18Rik; 2610312E17Rik; p44/MEP50	WD repeat domain 77	ENSMUSG00000000561
Adora3; Tmigd3; 1700001D09Rik; 4930578J19Rik; A3AR; A3R; AA3R; ARA3; Gpcr 2	adenosine A3 receptor	ENSMUSG00000000562
Atp5pb; Atp5f1; C76477	ATP synthase peripheral stalk-membrane subunit b	ENSMUSG00000000563
Sox9; 2010306G03Rik	SRY (sex determining region Y)-box 9	ENSMUSG00000000567
Hnrnpd; Auf1; Hnrpd	heterogeneous nuclear ribonucleoprotein D	ENSMUSG00000000568
Dynlt1c; Dynlt1d	dynein light chain Tctex-type 1C	ENSMUSG00000000579
C1d; 1110036E10Rik; SUN-CoR	C1D nuclear receptor co-repressor	ENSMUSG00000000581
Gm2a	GM2 ganglioside activator protein	ENSMUSG00000000594
Krit1; 2010007K12Rik; A630036P20Rik; Ccm1; Krit1A; Krit1B	KRIT1, ankyrin repeat containing	ENSMUSG00000000600
Clcn4; Clc4-2; Clcn4-2	chloride channel, voltage-sensitive 4	ENSMUSG00000000605
Vmn2r88; V2r13; V2r3	vomeronasal 2, receptor 88	ENSMUSG00000000606
Grm6; mGluR6; nerg1; nob3	glutamate receptor, metabotropic 6	ENSMUSG00000000617
Sema4f; Sema W	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain	ENSMUSG00000000627
Hk2; HKII	hexokinase 2	ENSMUSG00000000628
Myo18a; MyoPDZ	myosin XVIIIA	ENSMUSG00000000631
Sez6; D11Bhm177e; sez-6	seizure related gene 6	ENSMUSG00000000632
Haao; 0610007K21Rik; 0610012J07Rik; 3-HAO; 3-HAOxase; 3HAO	3-hydroxyanthranilate 3,4-dioxygenase	ENSMUSG00000000673
Cd52; B7; CAMPATH-1; CLS1; MB7	CD52 antigen	ENSMUSG00000000682
Abhd15; 1300007F04Rik	abhydrolase domain containing 15	ENSMUSG00000000686
Hoxb6; Hox-2.2	homeobox B6	ENSMUSG00000000690
Loxl3; Lor2	lysyl oxidase-like 3	ENSMUSG00000000693
Tcl1b5; D12Ertd644e	T cell leukemia/lymphoma 1B, 5	ENSMUSG00000000701
Btn1a1; Btn	butyrophilin, subfamily 1, member A1	ENSMUSG00000000706
Kat2b; A930006P13Rik; Pcaf	K(lysine) acetyltransferase 2B	ENSMUSG00000000708
Rab5b; C030027M18Rik	RAB5B, member RAS oncogene family	ENSMUSG00000000711
Cryba1; BA3/A1; Cryb	crystallin, beta A1	ENSMUSG00000000724
Dnmt3l; D6Ertd14e; ecat7	DNA (cytosine-5-)-methyltransferase 3-like	ENSMUSG00000000730
Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	ENSMUSG00000000731
Icosl; B7-H2; B7h; B7RP-1; GL50; GL50-B; ICOS-L; LICOS	icos ligand	ENSMUSG00000000732
Spg7; Cmar; paraplegin; spastic paraplegia 7 homolog (human)	SPG7, paraplegin matrix AAA peptidase subunit	ENSMUSG00000000738
Sult5a1; Sultx1	sulfotransferase family 5A, member 1	ENSMUSG00000000739
Rpl13; L13	ribosomal protein L13	ENSMUSG00000000740
Chmp1a; 2900018H07Rik; chromatin modifying protein 1A; Pcoln3	charged multivesicular body protein 1A	ENSMUSG00000000743
Rpa1; 5031405K23Rik; 70kDa; RF-A; RP-A; Rpa	replication protein A1	ENSMUSG00000000751
Serpinf1; EPC-1; Pedf; Pedfl; pigment epithelium derived factor; Sdf3	serine (or cysteine) peptidase inhibitor, clade F, member 1	ENSMUSG00000000753
Tubgcp3; GCP3; Spc98p	tubulin, gamma complex associated protein 3	ENSMUSG00000000759
Oprm1; MOP receptor; MOP-R; mor; MOR-1; muOR; Oprm	opioid receptor, mu 1	ENSMUSG00000000766
Polr3d; 2810426M17Rik; 44kDa; BN51T; RPC4; TSBN51	polymerase (RNA) III (DNA directed) polypeptide D	ENSMUSG00000000776
Tcf7; T cell factor-1; T-cell factor 1; TCF-1; Tcf1	transcription factor 7, T cell specific	ENSMUSG00000000782
Ddx3x; D1Pas1-rs2; Ddx3; embryonic RNA helicase; Fin14	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked	ENSMUSG00000000787
Il12rb1; CD212; IL-12R[b]	interleukin 12 receptor, beta 1	ENSMUSG00000000791
Slc5a5; NIS	solute carrier family 5 (sodium iodide symporter), member 5	ENSMUSG00000000792
Kcnn3; SK3; small conductance calcium-activated potassium channel 3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	ENSMUSG00000000794
Usp32; 2900074J03Rik; 6430526O11Rik	ubiquitin specific peptidase 32	ENSMUSG00000000804
Car4; CA IV	carbonic anhydrase 4	ENSMUSG00000000805
Txnrd3; Tgr; TR2	thioredoxin reductase 3	ENSMUSG00000000811
Fasl; APT1LG1; CD178; CD95L; Fas-L; Tnfsf6	Fas ligand (TNF superfamily, member 6)	ENSMUSG00000000817
Zfp512b; LOC269401; Znf512b	zinc finger protein 512B	ENSMUSG00000000823
Dnajc5; 2610314I24Rik; Csp	DnaJ heat shock protein family (Hsp40) member C5	ENSMUSG00000000826
Tpd52l2; 2810411G23Rik; D54	tumor protein D52-like 2	ENSMUSG00000000827
Fmr1; Fmr-1; FMRP	fragile X mental retardation 1	ENSMUSG00000000838
Bcl11a; 2810047E18Rik; COUP-TF interacting protein 1; CTIP1; D930021L15Rik; Evi9; Evi9a; Evi9b; Evi9c; mouse myeloid leukemia gene	B cell CLL/lymphoma 11A (zinc finger protein)	ENSMUSG00000000861
Il4; Il-4	interleukin 4	ENSMUSG00000000869
Pxmp4; 3010018P03Rik	peroxisomal membrane protein 4	ENSMUSG00000000876
Dlg3; DLG3; Dlgh3; SAP102	discs large MAGUK scaffold protein 3	ENSMUSG00000000881
Gnb1l; ESTM55; Me49f07; Wdr14; Wdvcf	guanine nucleotide binding protein (G protein), beta polypeptide 1-like	ENSMUSG00000000884
Dbh	dopamine beta hydroxylase	ENSMUSG00000000889
Mmp11; ST3; Stmy3; stromelysin 3	matrix metallopeptidase 11	ENSMUSG00000000901
Smarcb1; Baf47; Ini1; integrase interactor 1; Snf5; SNF5/INI1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	ENSMUSG00000000902
Vpreb3; 8HS-20; Vpreb-3	pre-B lymphocyte gene 3	ENSMUSG00000000903
Hip1r	huntingtin interacting protein 1 related	ENSMUSG00000000915
Nsun5; 9830109N13Rik; Nol1r; Wbscr20a	NOL1/NOP2/Sun domain family, member 5	ENSMUSG00000000916
Top1mt; 2900052H09Rik	DNA topoisomerase 1, mitochondrial	ENSMUSG00000000934
Hoxa10; Hox-1.8; Hoxa-10	homeobox A10	ENSMUSG00000000938
Hoxa4; Hox-1.4	homeobox A4	ENSMUSG00000000942
Gm38393	predicted gene, 38393	ENSMUSG00000000948
Mmp14; Membrane type 1-MMP; MT1-MMP; sabe	matrix metallopeptidase 14 (membrane-inserted)	ENSMUSG00000000957
Slc7a7; my+lat1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	ENSMUSG00000000958
Oxa1l; 1810020M02Rik	oxidase assembly 1-like	ENSMUSG00000000959
Heatr6; 2700008B19Rik	HEAT repeat containing 6	ENSMUSG00000000976
Ccl3; CCL3; G0S19-1; LD78alpha; macrophage inflammatory protein-1alpha; MIP-1 alpha; MIP-1alpha; MIP1-(a); MIP1-alpha; Mip1a; Scya3	chemokine (C-C motif) ligand 3	ENSMUSG00000000982
Wfdc18; Expi; Kal1; WDNM1	WAP four-disulfide core domain 18	ENSMUSG00000000983
Icam4; 1810015M19Rik; Cd242	intercellular adhesion molecule 4, Landsteiner-Wiener blood group	ENSMUSG00000001014
Ilf2; 6230405A16Rik; TEG-267; Tex261; Tex267	interleukin enhancer binding factor 2	ENSMUSG00000001016
Chtop; 2500003M10Rik; Fop; friend of Prmt1	chromatin target of PRMT1	ENSMUSG00000001017
Snapin; Bloc1s7; Snap25bp; Snapap	SNAP-associated protein	ENSMUSG00000001018
S100a4; 18A2; 42a; calvasculin; Capl; FSp1; metastasin; Mts1; PeL98; pk9a	S100 calcium binding protein A4	ENSMUSG00000001020
S100a3; S100E	S100 calcium binding protein A3	ENSMUSG00000001021
S100a5; S100D9	S100 calcium binding protein A5	ENSMUSG00000001023
S100a6; 2A9; 5B10; Cacy; CALCYCLIN; PRA	S100 calcium binding protein A6 (calcyclin)	ENSMUSG00000001025
Scn4a; mH2; Nav1.4; SkM1	sodium channel, voltage-gated, type IV, alpha	ENSMUSG00000001027
Icam2; CD102; Icam-2	intercellular adhesion molecule 2	ENSMUSG00000001029
Mapk7; b2b2346Clo; big MAP kinase 1; BMK1; ERK5; Erk5-T	mitogen-activated protein kinase 7	ENSMUSG00000001034
Epn2; 9530051D10Rik; Ibp2	epsin 2	ENSMUSG00000001036
B9d1; B9; Eppb9	B9 protein domain 1	ENSMUSG00000001039
Sec24b; SEC24	Sec24 related gene family, member B (S. cerevisiae)	ENSMUSG00000001052
N4bp3; C330016O10Rik	NEDD4 binding protein 3	ENSMUSG00000001053
Rmnd5b; 0610039K22Rik; Gid2	required for meiotic nuclear division 5 homolog B	ENSMUSG00000001054
Nhp2; 2410130M07Rik; D11Ertd175e; H/ACA small nucleolar RNPs; NHP2; Nola2	NHP2 ribonucleoprotein	ENSMUSG00000001056
Vps9d1; 1300018I17Rik; 2410004N05Rik	VPS9 domain containing 1	ENSMUSG00000001062
Zfp276; D8Ertd370e; D8Ertd377e	zinc finger protein (C2H2 type) 276	ENSMUSG00000001065
C1ql4	complement component 1, q subcomponent-like 4	ENSMUSG00000001076
Mfsd10; 0610009O03Rik; Tetran	major facilitator superfamily domain containing 10	ENSMUSG00000001082
Luzp1; 2700072H04Rik; Luzp	leucine zipper protein 1	ENSMUSG00000001089
Slc13a2; mNaDC-1; Nadc1; sodium/dicarboxylate co-transporter	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	ENSMUSG00000001095
Kctd10	potassium channel tetramerisation domain containing 10	ENSMUSG00000001098
Poldip2; 1300003F06Rik; mitogenin 1	polymerase (DNA-directed), delta interacting protein 2	ENSMUSG00000001100
Sebox; OG9; Og9x	SEBOX homeobox	ENSMUSG00000001103
Ift20; 0610009H04Rik	intraflagellar transport 20	ENSMUSG00000001105
Col6a1; Col6a-1	collagen, type VI, alpha 1	ENSMUSG00000001119
Pcbp3; AlphaCP-3	poly(rC) binding protein 3	ENSMUSG00000001120
Lgals9; gal-9; galectin-9; LGALS35; Lgals5	lectin, galactose binding, soluble 9	ENSMUSG00000001123
Araf; 1200013E08Rik; A-Raf; Araf1	Araf proto-oncogene, serine/threonine kinase	ENSMUSG00000001127
Cfp; Pfc	complement factor properdin	ENSMUSG00000001128
Timp1; Clgi; TIMP-1	tissue inhibitor of metalloproteinase 1	ENSMUSG00000001131
Uxt; 0910002B17Rik	ubiquitously expressed prefoldin like chaperone	ENSMUSG00000001134
Cnnm3; Acdp3	cyclin M3	ENSMUSG00000001138
Lman2l; A630028F14Rik; VIP36-like	lectin, mannose-binding 2-like	ENSMUSG00000001143
Mcm3ap; GANP	minichromosome maintenance complex component 3 associated protein	ENSMUSG00000001150
Pcnt; m239Asp; m275Asp; Pcnt2	pericentrin (kendrin)	ENSMUSG00000001151
Ftcd; glutamate formiminotransferase	formiminotransferase cyclodeaminase	ENSMUSG00000001155
Mxd1; Mad; Mad1	MAX dimerization protein 1	ENSMUSG00000001156
Gmcl1; 2810049L19Rik; Btbd13; Gcl; mglc-1	germ cell-less, spermatogenesis associated 1	ENSMUSG00000001157
Snrnp27; 2610209M04Rik	small nuclear ribonucleoprotein 27 (U4/U6.U5)	ENSMUSG00000001158
Oas1c; Oasl5	2'-5' oligoadenylate synthetase 1C	ENSMUSG00000001166
Oas1h	2'-5' oligoadenylate synthetase 1H	ENSMUSG00000001168
Ocrl; 9530014D17Rik; OCRL1; oculocerebrorenal syndrome of Lowe	OCRL, inositol polyphosphate-5-phosphatase	ENSMUSG00000001173
Calm1	calmodulin 1	ENSMUSG00000001175
Agpat3; D10Jhu12e; LPAAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	ENSMUSG00000001211
Slc26a3; 9030623B18Rik; 9130013M11Rik; Dra	solute carrier family 26, member 3	ENSMUSG00000001225
Sema6b; Sema; Seman; semaZ; VIb	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	ENSMUSG00000001227
Uhrf1; ICBP90; Np95	ubiquitin-like, containing PHD and RING finger domains, 1	ENSMUSG00000001228
Dpp9; 6430584G11Rik; DPRP2	dipeptidylpeptidase 9	ENSMUSG00000001229
Ramp2	receptor (calcitonin) activity modifying protein 2	ENSMUSG00000001240
Lsr; ILDR3; Lisch7	lipolysis stimulated lipoprotein receptor	ENSMUSG00000001247
Gramd1a; 1300003M23Rik; D7Bwg0611e	GRAM domain containing 1A	ENSMUSG00000001248
Hpn; Hlb320	hepsin	ENSMUSG00000001249
Gabrg1; GabaA	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1	ENSMUSG00000001260
Ckb; B-CK; Ck-3	creatine kinase, brain	ENSMUSG00000001270
Sp1; 1110003E12Rik; Sp1-1	trans-acting transcription factor 1	ENSMUSG00000001280
Itgb7	integrin beta 7	ENSMUSG00000001281
Myg1; Gamm1	melanocyte proliferating gene 1	ENSMUSG00000001285
Rarg; RAR gamma 2; RARgamma2	retinoic acid receptor, gamma	ENSMUSG00000001288
Pfdn5; 1190001O17Rik; 1700010A06Rik; c-myc binding protein MM-1; D15Ertd697e; EIG-1; MM-1	prefoldin 5	ENSMUSG00000001289
Efnb2; ELF-2; Epl5; Eplg5; Htk-L; LERK-5; Lerk5; NLERK-1	ephrin B2	ENSMUSG00000001300
Rrp15; 2810430M08Rik; 5430437H21Rik	ribosomal RNA processing 15 homolog (S. cerevisiae)	ENSMUSG00000001305
Rnd2; Arhn; Rohn	Rho family GTPase 2	ENSMUSG00000001313
Srr; M100034; Rgsc34	serine racemase	ENSMUSG00000001323
Sync; 1110057H03Rik; SNIP4	syncoilin	ENSMUSG00000001333
Fndc5; 1500001L03Rik; PeP; Pxp	fibronectin type III domain containing 5	ENSMUSG00000001334
Acp5; TRACP; TRAP	acid phosphatase 5, tartrate resistant	ENSMUSG00000001348
Cnn1; calponin h1; CN; CnnI	calponin 1	ENSMUSG00000001349
Fbxo9; 9030401P18Rik	f-box protein 9	ENSMUSG00000001366
Vps50; 1700034M03Rik; 8430415E05Rik; Ccdc132	VPS50 EARP/GARPII complex subunit	ENSMUSG00000001376
Hars; MMHRS	histidyl-tRNA synthetase	ENSMUSG00000001380
Zmat2; 2610510D14Rik; 2900082I05Rik	zinc finger, matrin type 2	ENSMUSG00000001383
Ube2c; 1110015A16Rik; D2Ertd695e	ubiquitin-conjugating enzyme E2C	ENSMUSG00000001403
Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	ENSMUSG00000001415
Cct3; Cctg; Tcp1-rs3; TriC-P5	chaperonin containing Tcp1, subunit 3 (gamma)	ENSMUSG00000001416
Glmp; 0610031J06Rik; NCU-G1	glycosylated lysosomal membrane protein	ENSMUSG00000001418
Mef2d	myocyte enhancer factor 2D	ENSMUSG00000001419
Tmem79; 2310042N02Rik; 2310074C17Rik; ma; Matt; mattrin	transmembrane protein 79	ENSMUSG00000001420
Snd1; p100 co-activator; Tudor-SN	staphylococcal nuclease and tudor domain containing 1	ENSMUSG00000001424
Col18a1; endostatin	collagen, type XVIII, alpha 1	ENSMUSG00000001435
Slc19a1; reduced folate carrier; RFC-1; RFC1	solute carrier family 19 (folate transporter), member 1	ENSMUSG00000001436
Kpnb1; Impnb	karyopherin (importin) beta 1	ENSMUSG00000001440
Npepps; MP100; Psa	aminopeptidase puromycin sensitive	ENSMUSG00000001441
Tbx21; T-bet; Tbet; Tblym; TBT1	T-box 21	ENSMUSG00000001444
Mrpl10; 0610040E02Rik; MRP-L8; Rpml8	mitochondrial ribosomal protein L10	ENSMUSG00000001445
Cyp51	cytochrome P450, family 51	ENSMUSG00000001467
Tcf25; 1100001J13Rik; 1810041K11Rik; D8Ertd325e; Nulp1	transcription factor 25 (basic helix-loop-helix)	ENSMUSG00000001472
Tubb6; 2310057H16Rik	tubulin, beta 6 class V	ENSMUSG00000001473
Def8; D8Ertd713e	differentially expressed in FDCP 8	ENSMUSG00000001482
Meox1; D330041M02Rik; Mox-1; Mox1	mesenchyme homeobox 1	ENSMUSG00000001493
Sost; 5430411E23Rik	sclerostin	ENSMUSG00000001494
Nkx2-1; T/EBP; thyroid transcription factor-1; thyroid-specific enhancer-binding protein; tinman; Titf1; Ttf-1	NK2 homeobox 1	ENSMUSG00000001496
Pax9; Pax-9	paired box 9	ENSMUSG00000001497
Irx2; IRX6	Iroquois homeobox 2	ENSMUSG00000001504
Col1a1; Col1a-1; Cola-1; Cola1; Mov-13	collagen, type I, alpha 1	ENSMUSG00000001506
Itga3; alpha3-integrin; VLA-3 alpha 3	integrin alpha 3	ENSMUSG00000001507
Sgca; 50DAG; adhalin; Asg	sarcoglycan, alpha (dystrophin-associated glycoprotein)	ENSMUSG00000001508
Dlx3; Dlx-3	distal-less homeobox 3	ENSMUSG00000001510
Foxm1; Fkh16; Foxm1b; HFH-11B; Mpm2; Trident; WIN	forkhead box M1	ENSMUSG00000001517
Itfg2; 2700050P07Rik	integrin alpha FG-GAP repeat containing 2	ENSMUSG00000001518
Nrip2; NIX1	nuclear receptor interacting protein 2	ENSMUSG00000001520
Tulp3; 2310022L06Rik	tubby-like protein 3	ENSMUSG00000001521
Gtf2h4; p52	general transcription factor II H, polypeptide 4	ENSMUSG00000001524
Tubb5; B130022C14Rik	tubulin, beta 5 class I	ENSMUSG00000001525
Ell2	elongation factor RNA polymerase II 2	ENSMUSG00000001542
Jup; Ctnng; D930025P04Rik; gamma-catenin; PG; plakoglobin	junction plakoglobin	ENSMUSG00000001552
Fkbp10; 65kDa; Fkbp-rs1; Fkbp1-rs; Fkbp6; FKBP65	FK506 binding protein 10	ENSMUSG00000001555
Klhl10; 4921517C11Rik	kelch-like 10	ENSMUSG00000001558
Mnx1; HB9; Hlxb9; MNR2	motor neuron and pancreas homeobox 1	ENSMUSG00000001566
Nom1; D5Kng1; Gm1040; LOC381627	nucleolar protein with MIF4G domain 1	ENSMUSG00000001569
Ergic1; 1200007D18Rik	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	ENSMUSG00000001576
Tnk1; Kos1; Tnk1a; Tnk1b	tyrosine kinase, non-receptor, 1	ENSMUSG00000001583
